,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
0,10,4,smart,555,342,61.62162162162163,675.093567251462,130.046783625731,379.8813071877266,198.52102747104158,52.25869862897415
1,5,8,smart,558,226,40.50179211469534,1166.4646017699115,122.07522123893806,189.94124901686794,112.47727174130306,59.2168748618234
2,10,4,basic,556,317,57.014388489208635,688.2712933753943,125.10094637223975,379.2173796622719,180.9617803058334,47.719801362215144
3,10,4,basic,557,331,59.42549371633752,649.785498489426,120.16918429003022,379.470507632236,185.0880710132358,48.77535072965776
4,15,4,basic,557,410,73.60861759425494,497.7390243902439,125.41951219512195,569.0460807708432,244.6994223221954,43.00168836778909
5,15,4,smart,558,401,71.86379928315412,562.2693266832918,128.47630922693267,568.2149593326723,239.1456607818264,42.08718141857543
6,20,6,basic,549,433,78.87067395264117,440.93302540415704,126.71824480369516,757.2854548870712,262.91195196408006,34.717681459138326
7,10,8,basic,562,390,69.3950177935943,604.425641025641,118.89487179487179,379.5891910499319,207.0948756436951,54.55763244229297
8,15,4,smart,557,393,70.55655296229803,701.5165394402036,132.88295165394402,568.2669649418417,237.97908018315903,41.878042340102354
9,10,6,basic,544,298,54.779411764705884,677.493288590604,117.85570469798658,378.795182243356,164.38598512227648,43.39706332818856
10,10,4,basic,561,352,62.745098039215684,607.9005681818181,124.83806818181819,380.3448377043588,207.78716056386443,54.63125563054886
11,5,8,smart,562,233,41.45907473309609,955.2145922746781,115.23175965665236,189.98022949539387,115.25002940021372,60.66422264376094
12,20,4,smart,556,413,74.28057553956835,463.363196125908,129.49394673123487,756.4303339369412,253.60147128082374,33.52608428074553
13,10,4,smart,556,350,62.94964028776978,673.7057142857143,121.23714285714286,379.8172322778584,193.03612471154977,50.82342461237583
14,15,4,basic,557,395,70.91561938958706,489.43291139240506,127.04303797468354,569.3292218458428,243.9825580993524,42.85438876794831
15,15,6,basic,546,382,69.96336996336996,465.29057591623035,132.25130890052355,568.2298729639508,234.3075378673654,41.23463918663603
16,15,6,smart,542,361,66.60516605166052,507.7617728531856,122.93351800554017,566.908845263121,208.32404708801215,36.74736226620739
17,20,6,basic,546,421,77.10622710622711,380.8479809976247,130.79334916864607,757.2436932773395,269.5529022815322,35.596585970219344
18,10,4,smart,553,337,60.94032549728752,665.919881305638,124.86943620178042,380.53605857601485,193.98708933856645,50.977321325205274
19,15,4,basic,551,405,73.502722323049,507.4641975308642,133.82716049382717,569.2483919998729,251.70272491906607,44.216677369046
20,5,6,basic,548,253,46.167883211678834,853.7312252964427,119.94466403162055,190.33987375819336,123.32680936987386,64.79294481751495
21,15,8,smart,556,394,70.86330935251799,603.2817258883249,125.10659898477158,567.7130978202619,224.13528699056337,39.480379764203484
22,20,6,basic,547,423,77.3308957952468,391.16075650118205,127.79905437352245,756.9256678855206,258.5249980293349,34.15460843751369
23,5,4,smart,557,230,41.292639138240574,1009.9739130434782,122.68695652173913,190.32529207563246,121.17121444843927,63.665324312381784
24,5,4,smart,559,249,44.543828264758496,988.2931726907631,125.2289156626506,189.73945537143618,119.79030012519578,63.13410138692183
25,10,6,smart,540,312,57.77777777777777,790.7179487179487,129.79166666666666,379.0541439171293,172.6380611987459,45.54443315530377
26,15,4,basic,558,415,74.37275985663082,499.3686746987952,128.58072289156627,569.3887001610005,257.8081104462001,45.27805177259439
27,10,8,basic,561,349,62.21033868092691,555.5759312320916,121.67335243553009,379.76887943067396,195.22110471338524,51.405240209795146
28,5,6,smart,548,195,35.583941605839414,1090.0307692307692,131.97435897435898,189.4353204383932,99.11811981538797,52.32293512424599
29,10,4,basic,556,362,65.10791366906474,644.3259668508288,132.48342541436463,380.81110889652047,215.89391874899977,56.69317772125855
30,20,8,smart,563,413,73.35701598579041,338.2009685230024,117.29782082324455,756.4593717251175,244.86240842862944,32.36953861384741
31,10,4,basic,550,329,59.81818181818181,734.7112462006079,120.5775075987842,379.6676935416596,188.6875745660105,49.698085398279076
32,10,4,smart,563,346,61.45648312611013,536.2861271676301,119.01156069364161,379.7151224323063,193.31502169243515,50.910540632181004
33,20,6,basic,547,413,75.50274223034735,363.7457627118644,123.21065375302663,756.9079916375864,251.2147817401449,33.18960620254999
34,5,6,smart,545,246,45.137614678899084,864.19918699187,124.14634146341463,189.8483496011965,118.68968868154164,62.518156692363256
35,15,8,basic,562,418,74.37722419928826,407.91148325358853,114.14593301435407,568.1525072177363,235.99206992827462,41.536747075875184
36,10,8,smart,558,356,63.799283154121866,589.8932584269663,114.7752808988764,379.94361283157207,198.50308207275498,52.24540573096851
37,10,6,smart,552,332,60.14492753623188,671.5240963855422,123.71987951807229,379.35571942129604,188.68094462053836,49.73720836695689
38,15,8,smart,559,396,70.84078711985688,445.8358585858586,117.8080808080808,567.7792907230464,232.00060054591324,40.861053641190196
39,20,6,basic,548,449,81.93430656934306,458.1358574610245,129.20935412026725,757.3947016184288,270.35582868455657,35.69550039191591
40,10,4,basic,561,365,65.06238859180036,660.3890410958904,123.8054794520548,380.11787932893765,197.616093094863,51.9881078584716
41,5,6,smart,550,227,41.27272727272727,976.1674008810572,130.02202643171807,190.07493701542853,116.46725749978336,61.274389632090006
42,15,4,basic,555,409,73.69369369369369,505.62591687041567,128.45721271393643,569.3014126541265,251.3995133812089,44.15929906254146
43,15,8,smart,559,400,71.55635062611807,487.34,120.85,567.7943452165723,226.21981721125434,39.84185808066967
44,5,4,basic,552,225,40.76086956521739,972.7155555555555,112.88444444444444,189.6348870654234,110.606041375415,58.32578756315881
45,10,8,basic,557,357,64.09335727109516,542.9859943977591,112.03361344537815,380.43715474585395,201.5704502357538,52.98390226117906
46,10,8,basic,560,337,60.17857142857142,733.6172106824926,120.35905044510386,379.5262535547473,180.857855838679,47.65358236609841
47,5,6,basic,543,256,47.14548802946593,1313.64453125,137.71484375,190.34551237403238,126.1075126958874,66.25189694416532
48,15,4,basic,558,406,72.75985663082437,420.38916256157637,126.66502463054188,568.5449493899638,241.3301493661315,42.4469779610343
49,15,6,basic,544,391,71.875,512.6061381074169,120.61381074168798,568.307841040639,228.862258450277,40.27082540884938
50,10,4,basic,555,349,62.88288288288288,634.78223495702,117.52148997134671,379.26012315230236,192.08518944010768,50.64734669270003
51,5,6,basic,545,201,36.88073394495413,1013.9751243781094,137.7860696517413,189.805550872256,105.81868219053031,55.75109985152594
52,10,8,basic,556,350,62.94964028776978,722.8657142857143,120.06571428571428,379.92717654027575,194.79792964051768,51.272438948538166
53,10,6,basic,546,296,54.21245421245421,676.9898648648649,123.50675675675676,378.91323355357486,165.0081329520492,43.54773556060522
54,15,8,smart,562,388,69.03914590747331,528.4974226804123,120.33247422680412,567.566035931505,223.82651068528858,39.43620592411566
55,10,8,basic,562,376,66.90391459074732,600.8191489361702,115.27925531914893,380.22771621580085,208.51254512161853,54.838860038092484
56,20,4,smart,553,411,74.32188065099457,481.345498783455,129.71289537712894,757.2777550469442,254.23718898236146,33.572515142294264
57,5,4,basic,563,225,39.96447602131439,1004.4444444444445,128.46666666666667,189.62603856435044,105.74269623762542,55.76380598265843
58,20,8,smart,562,406,72.24199288256227,379.628078817734,121.1256157635468,755.775507473425,241.9263122401479,32.01034035211238
59,15,6,basic,547,390,71.29798903107861,405.3871794871795,121.94358974358974,568.675320143714,230.16397523084163,40.473705659087734
60,5,6,smart,546,232,42.49084249084249,1016.9008620689655,122.32327586206897,190.56804472297145,125.34596243068795,65.77491132519265
61,20,8,smart,563,408,72.46891651865009,387.91421568627453,120.61764705882354,755.8217474129739,235.59898919876534,31.171237134307578
62,15,4,smart,561,378,67.37967914438502,574.7301587301587,122.96825396825396,567.8444543723317,227.61440981713034,40.08393637809222
63,10,8,basic,562,372,66.19217081850533,617.008064516129,119.65591397849462,380.1696418325333,203.00872192061348,53.399508951332805
64,5,4,smart,557,268,48.114901256732495,990.7649253731344,124.82462686567165,190.36315740924195,140.46159900986945,73.78612590875747
65,10,6,basic,540,319,59.074074074074076,704.3667711598746,121.53291536050156,379.3533412545386,180.62362161453544,47.61355759177051
66,15,6,smart,546,371,67.94871794871796,596.644204851752,133.42587601078168,567.5327088753369,219.07734734088575,38.601712978803455
67,10,8,basic,559,382,68.33631484794276,542.9554973821989,117.79319371727749,380.49455787255215,212.8200750335009,55.93248855474713
68,20,6,smart,545,407,74.6788990825688,411.1449631449631,123.61916461916462,756.0213588132203,243.13070903309662,32.159238121890624
69,5,8,basic,563,237,42.09591474245116,957.1940928270042,109.24894514767932,190.02319897275603,113.30155705819593,59.62511823329538
70,5,8,basic,563,275,48.84547069271758,985.2618181818182,119.2690909090909,190.54655309264987,140.39029897101545,73.67769014575309
71,10,4,basic,553,356,64.376130198915,763.6713483146067,128.29494382022472,380.13536489621146,206.83945555338718,54.41205282488269
72,20,8,smart,557,439,78.81508078994614,383.14578587699316,125.5239179954442,756.7370486331324,258.65193636846124,34.179896020110974
73,15,4,smart,550,378,68.72727272727272,699.936507936508,136.65343915343917,568.7839348276395,232.50389335242423,40.87736645073857
74,5,6,basic,547,259,47.3491773308958,897.6138996138997,119.7915057915058,190.53950223414395,128.45941632681567,67.4187844623204
75,20,6,smart,546,397,72.7106227106227,417.1813602015113,126.04282115869017,755.8928298112826,238.10357164365584,31.49964680880769
76,10,6,basic,541,333,61.552680221811464,665.006006006006,125.74474474474475,379.71090919914695,183.68743376378933,48.375600835700716
77,5,6,basic,549,265,48.26958105646631,1073.3811320754717,122.12830188679246,190.53057592562482,125.46422617431003,65.84991703551351
78,5,4,smart,556,246,44.24460431654676,919.260162601626,130.3617886178862,189.92956409492686,120.56690683157875,63.47979968580319
79,10,8,smart,559,368,65.83184257602862,622.866847826087,120.37771739130434,379.8994133543917,200.66976182492098,52.82181408312017
80,10,4,basic,550,343,62.36363636363637,640.3644314868804,122.7930029154519,380.09132753892607,195.85061243590647,51.52725101728319
81,10,6,smart,543,335,61.69429097605893,689.3134328358209,123.72537313432836,379.45534518238964,191.7062500549173,50.52142564041928
82,10,6,smart,541,324,59.88909426987061,620.179012345679,122.84567901234568,379.29245505678887,182.0560597396154,47.99886138319239
83,5,6,basic,547,258,47.16636197440585,1044.9883720930231,124.17829457364341,190.76786141274053,131.96281587245875,69.1745532477021
84,10,4,smart,557,327,58.707360861759426,536.3516819571865,117.6697247706422,379.42335076495766,181.27353698263147,47.77606244243134
85,20,8,smart,558,425,76.16487455197132,480.3552941176471,130.3435294117647,755.6407513400832,252.07246326552087,33.35877039697576
86,15,8,basic,560,421,75.17857142857143,413.71496437054634,120.96912114014252,568.6060760561162,244.59036548184847,43.015784702538014
87,20,8,smart,562,425,75.62277580071174,423.4752941176471,122.96235294117648,756.0813775826334,250.52579078255732,33.134765411568004
88,15,4,basic,556,400,71.94244604316546,470.36,133.6425,568.6530047011712,249.2159956967273,43.82567112745514
89,5,8,basic,562,271,48.220640569395016,972.8339483394834,118.28782287822878,190.38711416915876,135.59215043531444,71.21918467383298
90,15,4,basic,550,376,68.36363636363636,532.7473404255319,126.69148936170212,569.0040225571857,234.3003561140835,41.17727587603056
91,15,4,basic,557,387,69.47935368043088,472.66149870801036,124.6124031007752,568.5879399482696,233.46289125577613,41.0601201420165
92,10,6,smart,540,341,63.14814814814815,664.2140762463343,121.9882697947214,379.37372653901883,189.3229153907833,49.904066134983466
93,10,6,smart,542,318,58.671586715867164,631.4088050314465,119.21698113207547,379.46632473833733,180.2351453862706,47.49700662122061
94,20,8,smart,563,433,76.90941385435168,433.2286374133949,119.29792147806005,755.7351116793606,254.76560842922433,33.71096624888787
95,20,8,basic,559,446,79.78533094812164,374.45515695067263,125.10538116591928,756.9062616073844,267.3765800854541,35.32492643377619
96,15,6,basic,546,390,71.42857142857143,478.6794871794872,133.4974358974359,568.8866837220397,238.43285049354,41.91218696376434
97,20,8,smart,557,402,72.17235188509873,410.1741293532338,114.58706467661692,755.1808664605238,227.28880574067574,30.097267533532907
98,15,4,basic,563,428,76.02131438721138,430.4766355140187,119.75700934579439,569.7047658070618,254.75748339652975,44.71745695081771
99,15,4,basic,558,415,74.37275985663082,523.0144578313253,125.78313253012048,569.4398682199787,246.39429955774625,43.269590576429806
100,10,6,smart,547,332,60.69469835466179,621.6084337349398,125.65361445783132,379.21805846587256,182.88803135688,48.22766935117856
101,10,8,smart,560,349,62.32142857142857,579.4355300859598,118.79369627507164,378.64403251278793,184.1442345821147,48.63254634176643
102,15,8,smart,558,387,69.35483870967742,486.68475452196384,120.18346253229974,567.8012378385984,223.37898244713713,39.341052389645235
103,10,8,basic,557,342,61.40035906642729,598.9590643274854,114.85380116959064,379.64991980791143,182.5323784621952,48.07912999284965
104,5,6,basic,548,209,38.13868613138686,1006.133971291866,133.14354066985646,189.7847436428053,105.15942675273637,55.409842084386604
105,5,6,smart,546,240,43.956043956043956,1035.8041666666666,125.65833333333333,190.21178695291903,120.40819833712757,63.30217504708625
106,5,4,basic,564,261,46.27659574468085,1004.1877394636016,136.66283524904213,190.58329288720753,137.44797147505582,72.11963304485526
107,10,4,smart,556,328,58.992805755395686,694.8048780487804,125.28658536585365,379.4325643600517,185.87731851304557,48.988235584508914
108,5,4,smart,558,236,42.29390681003584,951.9618644067797,140.53813559322035,190.64455987928548,128.70369945627925,67.50976767329388
109,10,6,smart,546,336,61.53846153846154,644.2291666666666,121.89285714285714,379.54028124977964,188.2748163866104,49.6060169862984
110,10,8,basic,558,351,62.903225806451616,699.4131054131054,123.23646723646723,379.71538279682824,196.3532200318528,51.710630890325085
111,10,6,basic,541,348,64.32532347504622,693.278735632184,123.83045977011494,379.9356029319828,202.7820169137689,53.372733523494375
112,5,4,smart,559,256,45.796064400715565,1011.12109375,129.44921875,190.9296591292531,134.56329329492172,70.47794140973498
113,5,6,basic,547,245,44.78976234003657,980.4938775510204,120.20408163265306,190.24869599087418,121.31947605387847,63.76888704650986
114,5,8,smart,562,252,44.83985765124555,963.8769841269841,117.32142857142857,190.4988569053781,125.72507517203495,65.99781080811596
115,5,4,smart,556,245,44.064748201438846,892.3020408163266,117.55918367346939,190.48263654829927,125.82880575026729,66.05788749588302
116,15,6,basic,544,393,72.24264705882352,505.74300254452925,128.4910941475827,568.2082297168188,237.35531484609498,41.772593643071154
117,15,4,basic,559,415,74.23971377459749,490.1518072289157,128.710843373494,568.7026342595492,245.80945254107058,43.222844019548894
118,20,6,basic,545,439,80.55045871559633,409.12072892938494,129.71981776765375,757.1883914446969,278.71766083468907,36.80955281193661
119,15,4,smart,559,385,68.87298747763863,520.9012987012987,124.45974025974026,568.7629338637092,226.6148454493112,39.84346235607789
120,5,8,basic,558,269,48.2078853046595,1002.7360594795539,115.5539033457249,190.46731658763682,131.35162276734556,68.96281478660342
121,10,6,basic,549,365,66.48451730418944,697.9397260273972,118.55342465753425,380.0960375164089,189.59378463195776,49.880494906178264
122,20,6,smart,544,387,71.13970588235294,465.89405684754524,134.34108527131784,755.9892766233593,245.07091343255743,32.417247309005674
123,15,8,basic,559,414,74.0608228980322,395.7463768115942,120.26811594202898,568.561609350381,243.48203797897577,42.82421359000479
124,5,4,smart,559,150,26.833631484794275,1146.1866666666667,125.25333333333333,188.96459573791654,76.09198299860351,40.267851605461004
125,10,4,basic,550,336,61.09090909090909,618.6666666666666,128.54464285714286,380.2740788525359,196.33889406227178,51.63089071301354
126,10,4,basic,558,338,60.57347670250897,655.8372781065088,122.07100591715977,379.76015985365825,189.0674085492321,49.786004045840365
127,20,4,smart,562,401,71.35231316725978,508.0498753117207,127.18204488778055,756.54575085545,252.77410780797098,33.41160895056926
128,5,6,basic,546,219,40.10989010989011,1267.2100456621004,136.88127853881278,189.83439160614415,113.42149143077721,59.74759919482695
129,5,6,basic,544,234,43.01470588235294,996.3205128205128,123.5,190.53832656002155,120.41835289801058,63.19901883890932
130,5,6,smart,546,248,45.42124542124542,996.9435483870968,125.7741935483871,190.38870929880412,128.3808425453608,67.43091174796214
131,10,8,smart,561,337,60.071301247771835,653.326409495549,116.30860534124629,379.4266576031326,184.0855004362659,48.51675462107701
132,15,4,basic,559,417,74.59749552772809,514.863309352518,134.57314148681056,569.3055601802497,252.5999533920974,44.36983775674365
133,10,4,basic,559,340,60.82289803220036,615.9,114.18823529411765,379.06534417127756,184.04831021498978,48.553188268202405
134,5,8,smart,557,271,48.65350089766607,1057.3948339483395,114.06642066420665,190.4810862783015,134.382093687391,70.54878587318252
135,20,8,basic,556,442,79.49640287769785,451.6131221719457,129.31900452488688,757.4275829730389,276.3904954288465,36.490682626577225
136,20,6,smart,544,402,73.89705882352942,426.31094527363183,128.00248756218906,756.3929096528124,245.07131003383336,32.4000009659427
137,20,4,smart,559,415,74.23971377459749,511.33493975903616,128.85542168674698,757.7088233617478,258.68242371352034,34.1400833325151
138,5,4,basic,556,258,46.402877697841724,953.468992248062,141.54263565891472,190.92472300084083,139.7688049061814,73.20623684003766
139,15,8,basic,562,404,71.88612099644128,413.519801980198,117.73762376237623,568.5938499576895,233.08281111500187,40.99284772994751
140,10,6,smart,547,306,55.94149908592322,844.2908496732026,121.97712418300654,378.73924991511194,165.97330088319848,43.82257738546998
141,15,8,basic,560,406,72.5,392.8226600985222,121.35221674876847,568.6673202468995,235.071741528813,41.33730445891482
142,10,4,smart,557,332,59.60502692998204,739.789156626506,125.9487951807229,379.5586299555128,190.82655800661792,50.27591074111113
143,5,6,smart,545,245,44.95412844036697,848.6734693877551,120.77551020408163,189.96100761421093,121.88119559592873,64.16116503417139
144,5,6,smart,547,264,48.263254113345525,936.4962121212121,119.96212121212122,190.52833662950113,135.02273563134435,70.86753499239735
145,10,6,smart,547,321,58.68372943327239,599.6915887850467,122.85358255451713,378.68465567625054,175.84144203317948,46.43479459688271
146,15,4,smart,556,378,67.98561151079137,457.7804232804233,124.86507936507937,568.4139096539012,231.79317620255802,40.77894158918339
147,20,4,smart,558,395,70.78853046594982,485.0759493670886,127.33417721518987,756.7119039977632,249.65968680026455,32.992699795165706
148,20,8,smart,559,423,75.67084078711986,367.12293144208036,121.22222222222223,756.3997270555117,256.38687244299064,33.8956854785029
149,10,4,basic,559,340,60.82289803220036,724.6735294117647,126.98823529411764,379.73423180709113,192.41490513407683,50.67094009892307
150,20,4,basic,560,444,79.28571428571428,454.97072072072075,134.52702702702703,757.6872093001498,285.821442808404,37.72288080095845
151,10,6,basic,548,343,62.59124087591241,601.6851311953353,123.38775510204081,379.53933085334813,187.12337327136825,49.30276207491963
152,15,8,basic,556,406,73.02158273381295,495.4039408866995,122.77093596059113,568.7023298430964,235.64144933617368,41.43493651611847
153,20,8,basic,559,457,81.7531305903399,388.6542669584245,120.80962800875274,757.3586300224819,270.1414437616444,35.668893579997274
154,15,4,smart,562,387,68.86120996441281,543.5503875968992,122.22739018087856,568.4514226983263,227.192486807874,39.96691322003141
155,10,8,smart,562,347,61.74377224199288,703.8011527377522,112.91066282420749,379.2132706248961,183.79456257646066,48.46733403437864
156,20,8,basic,558,463,82.97491039426524,448.32613390928725,127.89848812095032,757.210214934165,281.2599551271445,37.14423677599205
157,15,8,basic,561,409,72.90552584670232,439.9046454767726,119.11491442542787,568.6955939024689,239.99367948329498,42.20072778064355
158,5,8,basic,557,247,44.34470377019748,958.2631578947369,116.72874493927125,190.38752788221169,123.59245567929099,64.91625636094962
159,20,6,basic,548,406,74.08759124087592,410.26847290640393,132.10837438423644,756.4615109967605,248.45110321301775,32.8438525425627
160,10,8,basic,562,377,67.08185053380782,651.8753315649867,123.24933687002653,380.64908393117554,214.63992914762522,56.387874871763486
161,10,4,smart,554,323,58.30324909747292,696.3188854489164,128.8544891640867,379.6492321701639,187.03701593058543,49.26574323921006
162,10,4,basic,559,358,64.04293381037567,560.9525139664804,122.68994413407822,380.6477153585573,210.56160269478963,55.316660050474155
163,20,6,basic,546,426,78.02197802197803,399.30046948356807,126.30985915492958,756.9891045065883,257.4717205002037,34.012605857521
164,15,6,basic,548,405,73.90510948905109,564.5975308641976,120.03703703703704,568.3154545560882,232.00755664121868,40.823728227211426
165,20,6,smart,541,403,74.4916820702403,406.5682382133995,127.32009925558313,757.3336729696265,253.9584878991797,33.53323600459595
166,15,4,basic,558,400,71.68458781362007,534.6125,128.41,569.1926592923144,241.57273862846884,42.44129552352622
167,10,6,basic,542,355,65.49815498154982,575.8985915492958,125.06197183098591,379.87155623016054,199.0841486665023,52.4082799571019
168,5,6,basic,544,137,25.183823529411764,967.0583941605839,125.22627737226277,188.98362760545768,72.50250342752506,38.364436298624234
169,20,6,smart,546,389,71.24542124542124,436.293059125964,132.5835475578406,755.3795133154345,236.79842071822856,31.348271503803062
170,20,6,smart,547,404,73.85740402193784,442.4059405940594,125.81188118811882,756.5349937978616,240.56703672155953,31.79853393349265
171,5,6,smart,547,159,29.06764168190128,1020.7610062893082,115.67295597484276,188.6462094231977,70.64458032697246,37.448184378034654
172,20,4,smart,551,405,73.502722323049,495.6666666666667,134.28395061728395,757.359885473351,255.92289440926308,33.79145097568917
173,15,4,basic,552,385,69.7463768115942,457.16103896103897,116.08571428571429,568.4011944688993,223.36308879203187,39.29673107051385
174,5,6,smart,540,233,43.148148148148145,1111.9356223175967,129.71244635193133,189.70649098761746,116.48675624022219,61.40367450464599
175,15,6,basic,550,396,72.0,499.1212121212121,123.37373737373737,568.9082658388419,237.35088092782382,41.72041349721919
176,15,4,smart,558,414,74.19354838709677,542.4468599033817,125.70289855072464,569.3187749995137,246.71302972588495,43.33477843341732
177,20,8,smart,558,432,77.41935483870968,460.5787037037037,125.48611111111111,756.2871015893661,256.112413228912,33.86444284064636
178,10,4,basic,558,356,63.799283154121866,695.9887640449438,123.68539325842697,380.7453027040557,212.60649924319446,55.83955934144471
179,15,6,basic,547,408,74.58866544789763,507.2769607843137,130.7941176470588,569.236088030388,244.94978886364947,43.03131758761105
180,5,8,basic,556,212,38.1294964028777,1178.5943396226414,133.35377358490567,189.46122580684596,105.90406907802382,55.89748964571362
181,20,8,smart,561,413,73.61853832442068,459.0968523002421,124.72639225181598,755.9505605363208,251.06550977781643,33.211895444550514
182,10,6,smart,544,325,59.74264705882353,711.9046153846153,120.41538461538461,378.6132364908457,177.62990887169119,46.91592679591539
183,15,6,basic,545,393,72.11009174311927,454.74554707379133,125.23664122137404,569.002811143011,240.2916808947805,42.23031524432777
184,5,4,smart,558,229,41.03942652329749,963.8558951965066,130.51965065502182,190.14147013036828,119.56191310005687,62.88050314225542
185,5,8,smart,562,244,43.41637010676156,904.8524590163935,116.8688524590164,190.22222478412087,123.81319686206594,65.08871242704626
186,10,4,basic,556,340,61.15107913669065,664.2088235294118,121.63529411764706,380.16671756831676,192.68490717523534,50.684317766614974
187,20,8,basic,560,436,77.85714285714286,371.6215596330275,121.27752293577981,756.9011429039058,259.38194849617025,34.26893339082997
188,15,8,smart,560,396,70.71428571428572,508.1515151515151,126.15656565656566,567.8178821789712,229.93377470354483,40.49428204359928
189,5,6,basic,552,253,45.83333333333333,907.501976284585,133.85770750988144,190.62283380303066,135.87210847299505,71.27798163644489
190,15,4,basic,557,418,75.04488330341114,523.8755980861245,130.37799043062202,569.4281094711891,252.36666961798298,44.3193206342322
191,10,4,smart,557,346,62.11849192100538,753.6618497109827,129.40462427745663,379.8147699471173,191.85458468890332,50.51267087786391
192,15,4,basic,559,408,72.98747763864043,508.20588235294116,131.98039215686273,569.6656643400604,256.62155215897434,45.04774786738503
193,15,4,smart,561,376,67.02317290552585,500.0558510638298,122.43351063829788,568.2872656152404,219.9671336632681,38.70703198410171
194,5,4,basic,554,237,42.7797833935018,938.9831223628692,126.14345991561181,190.55455997119665,127.39319255675805,66.85391972567552
195,20,4,smart,556,431,77.51798561151078,514.030162412993,135.04176334106728,757.6988359499277,275.23536409986167,36.32516654916051
196,20,4,smart,555,419,75.49549549549549,439.50357995226733,127.43436754176611,756.2294385463738,251.18994325990764,33.21610221135342
197,20,4,basic,559,445,79.60644007155635,422.4269662921348,125.96179775280899,757.1318058163399,275.97130934412144,36.44957287807623
198,20,4,basic,555,440,79.27927927927928,365.27272727272725,133.30227272727274,756.9910501505465,276.5278117496932,36.52986540523812
199,10,6,smart,545,324,59.44954128440367,627.0092592592592,122.18518518518519,379.53631192821615,184.99329110405722,48.741921468385364
200,20,4,basic,556,434,78.05755395683454,413.5990783410138,128.93087557603687,756.6127680795339,263.7130598845388,34.854428977441955
201,15,6,basic,547,381,69.6526508226691,512.005249343832,125.35433070866142,568.6373839597723,226.94975915509752,39.91115701445913
202,20,6,smart,543,384,70.71823204419888,430.6119791666667,124.921875,755.5789403062496,237.52529788954064,31.436198816402616
203,20,6,smart,543,409,75.32228360957643,435.11735941320296,128.1271393643032,757.0017672583871,248.7791401399285,32.86374628171942
204,15,4,smart,559,401,71.73524150268337,623.8154613466335,124.89526184538653,568.6078892708733,232.70080051043382,40.92465210231719
205,5,8,smart,559,232,41.50268336314848,926.25,109.1853448275862,190.06869697055453,113.06424659265251,59.48599027338438
206,5,4,basic,557,167,29.982046678635548,1081.6526946107786,125.33532934131736,188.84972111490396,80.4322708659745,42.590621998872955
207,10,8,smart,563,339,60.213143872113676,655.1946902654868,115.89380530973452,379.3086555372519,178.69055995549243,47.109539249083454
208,10,6,basic,547,365,66.72760511882998,603.1917808219179,119.63835616438357,380.37692905448625,203.32725691505632,53.454150707949786
209,5,8,smart,560,265,47.32142857142857,945.1547169811321,125.21132075471698,190.3445779552572,133.45342097211835,70.11149064802265
210,15,6,basic,547,379,69.28702010968921,396.05013192612137,116.49868073878628,568.1118257213128,213.89413840342237,37.650006340186295
211,10,4,smart,562,321,57.11743772241993,663.3551401869158,118.58878504672897,379.47320136445103,178.0222711273186,46.91300215330454
212,20,6,smart,547,371,67.82449725776965,412.5067385444744,119.4366576819407,755.78979517534,218.44910419218942,28.903420711245538
213,5,4,smart,558,228,40.86021505376344,1106.9254385964912,122.0219298245614,190.12867254777794,120.0707259244082,63.15235062414655
214,15,4,smart,559,365,65.29516994633273,583.5013698630137,129.91232876712328,568.3294904755365,223.77837220890393,39.37475988122006
215,5,4,basic,561,266,47.41532976827095,1044.454887218045,127.95112781954887,190.797649878286,138.2992029246412,72.48475178434603
216,5,4,basic,559,227,40.608228980322004,1041.9118942731277,125.01762114537445,190.40205551943,119.54778568235359,62.78702472839327
217,20,8,smart,562,427,75.97864768683274,463.24824355971896,125.56440281030444,756.2297682324701,254.27714668298415,33.62432389792115
218,5,8,basic,559,241,43.112701252236135,1203.0539419087138,127.33195020746888,189.93452204331163,118.4243567355824,62.35009594968606
219,5,6,smart,546,214,39.1941391941392,1056.9672897196263,116.99532710280374,189.6133824267528,102.1371976791248,53.86602800494852
